empty_count,longitude,latitude
18,50.450386085935094,30.524547100067142
92,50.45050063818424,30.52432932092009
7,50.45061519043338,30.524111541773035
35,50.450729742682526,30.52389376262598
61,50.45084429493167,30.523675983478928
22,50.450958847180814,30.523458204331874
49,50.45107339942996,30.52324042518482
0,50.4511879516791,30.523022646037766
11,50.45130250392825,30.522804866890713
73,50.45141705617739,30.52258708774366
28,50.45158184958234,30.52247389776916
6,50.451757508676074,30.522413170763514
5,50.45193316776981,30.522352443757867
41,50.452108826863544,30.52229171675222
0,50.45228448595728,30.522230989746575
14,50.45246014505101,30.52217026274093
53,50.45263580414475,30.522109535735282
79,50.45281146323848,30.522048808729636
26,50.45298712233222,30.52198808172399
19,50.45316278142595,30.521927354718343
2,50.45333844051969,30.521866627712697
0,50.4535017075372,30.521748100680377
31,50.45366497455471,30.521629573648056
57,50.453828241572225,30.521511046615736
45,50.45399150858974,30.521392519583415
9,50.45415477560725,30.521273992551095
15,50.45431804262476,30.521155465518774
23,50.454481309642276,30.521036938486453
38,50.45464457665979,30.520918411454133
0,50.4548078436773,30.520799884421812
